fecha,total,acumulado
2020-07-20,1,2982
2020-07-25,3,2985
2020-07-30,2,2987
2020-08-15,3,2990
2020-08-18,61,3051
2020-08-23,3,3054
2020-08-30,2,3056
2020-08-31,2,3058
2020-09-02,1,3059
2020-09-03,1,3060
2020-09-07,1,3061
2020-09-12,2,3063
2020-09-14,9,3072
2020-09-21,1,3073
2020-09-25,2,3075
2020-09-27,2,3077
2020-09-28,22,3099
2020-10-06,1,3100
2020-10-18,58,3158
2020-10-24,58,3216
2020-10-25,1,3217
2020-10-26,4,3221
2020-10-28,10,3231
2020-11-05,2,3233
2020-11-10,1,3234
2020-11-12,1,3235
2020-11-13,1,3236
2020-11-20,25,3261
2020-11-21,1,3262
2020-11-24,60,3322
2020-11-29,1,3323
2020-12-11,1,3324
2020-12-13,1,3325
2020-12-15,1,3326
2020-12-17,1,3327
2020-12-18,36,3363
2020-12-19,2,3365
2020-12-22,5,3370
2020-12-27,1,3371
2020-12-28,1,3372
